Hiker1,Hiker2,Interaction_Count
Camel,Earl Grey,4
Camel,WEATHER OR KNOT,4
Camel,Mark,20
Camel,Willi,17
Camel,Cowboy ,7
Camel,Cowboy,7
Camel,Luke,8
Camel,Vega,51
Camel,Traveller,8
Brighty and Wreck,nails,1
Brighty and Wreck,Indy,2
Brighty and Wreck,50/50,1
Brighty and Wreck,Woodstock ,2
Brighty and Wreck,Ace,54
Brighty and Wreck,Lean,7
Brighty and Wreck,Shepherd,1
Brighty and Wreck,OAK ,1
Brighty and Wreck,Peregrin,2
Brighty and Wreck,Tally,4
Brighty and Wreck, Machine,1
Brighty and Wreck,Lunch,43
Brighty and Wreck,Bu,267
Brighty and Wreck,INDY,2
Brighty and Wreck,Hudson,6
Brighty and Wreck,HiC,50
Brighty and Wreck,Trillium,1
Brighty and Wreck,Iris,2
Brighty and Wreck,Lightning,1
Brighty and Wreck,Achin,5
Brighty and Wreck,Draggin,1
Brighty and Wreck,Rad,14
Brighty and Wreck,Cadi,1
Brighty and Wreck,Iso,7
Brighty and Wreck,Thistle,1
Brighty and Wreck,BULL,4
Brighty and Wreck,WILDCAT,4
Brighty and Wreck,Toes,19
Brighty and Wreck,Hooti,1
Brighty and Wreck,Angel,3
Brighty and Wreck,Sycamore,1
Brighty and Wreck,Moose,2
Brighty and Wreck,Baked Potato ,2
Brighty and Wreck,Turk,3
Brighty and Wreck,Coach,1
Brighty and Wreck,Quick,4
Brighty and Wreck,elle,1
Brighty and Wreck,Food Bag,1
Brighty and Wreck,RADAR,2
Brighty and Wreck,Wonder,3
Brighty and Wreck,Apples,1
Brighty and Wreck,IPA,5
Brighty and Wreck,Okie,13
Brighty and Wreck,y not,3
Brighty and Wreck,Bald Eagle,1
Brighty and Wreck,Eagle ,2
Brighty and Wreck,Lake,23
Brighty and Wreck,Griffin,1
Brighty and Wreck,Puddles,1
Brighty and Wreck,Mark,5
Brighty and Wreck,Willi,1
Brighty and Wreck,Falcon,2
EarthTone and LoGear,Indy,1
EarthTone and LoGear,Rooster,22
EarthTone and LoGear,Dragon,26
EarthTone and LoGear,Ace,163
EarthTone and LoGear,Lean,70
EarthTone and LoGear,Shepherd,12
EarthTone and LoGear,Goldilocks,37
EarthTone and LoGear,OAK ,51
EarthTone and LoGear,Slim,18
EarthTone and LoGear,Tally,10
EarthTone and LoGear, Machine,1
EarthTone and LoGear,Lunch,345
EarthTone and LoGear,Bu,1719
EarthTone and LoGear,INDY,1
EarthTone and LoGear,HiC,169
EarthTone and LoGear,Lightning,31
EarthTone and LoGear,Achin,53
EarthTone and LoGear,Rad,29
EarthTone and LoGear,IPOD,41
EarthTone and LoGear,Iso,20
EarthTone and LoGear,Phase II,28
EarthTone and LoGear,Squirrel,55
EarthTone and LoGear,BULL,14
EarthTone and LoGear,Recon,29
EarthTone and LoGear,Angel,23
EarthTone and LoGear,twisted,13
EarthTone and LoGear,Bigfoot,8
EarthTone and LoGear,Quick,63
EarthTone and LoGear,elle,34
EarthTone and LoGear,Food Bag,70
EarthTone and LoGear,RADAR,13
EarthTone and LoGear,Wonder,1
EarthTone and LoGear,Apples,14
EarthTone and LoGear,Molasses,1
EarthTone and LoGear,EarthTone and LoGear,1
EarthTone and LoGear,Foggy,16
EarthTone and LoGear,Detour,17
EarthTone and LoGear,Okie,1
EarthTone and LoGear,Grits,13
EarthTone and LoGear,y not,25
EarthTone and LoGear,Tent Cents,11
EarthTone and LoGear,Dog Whisperer,2
EarthTone and LoGear,MOLASSES,1
EarthTone and LoGear,Mark,29
EarthTone and LoGear,Willi,3
EarthTone and LoGear,Levi,47
EarthTone and LoGear,Cowboy ,12
EarthTone and LoGear,Cowboy,12
Spiceman and Milkshake,Ace,6
Spiceman and Milkshake,OAK ,1
Spiceman and Milkshake,Lunch,3
Spiceman and Milkshake,Bu,19
Spiceman and Milkshake,HiC,7
Spiceman and Milkshake,iceman,16
Spiceman and Milkshake,Spice,16
Spiceman and Milkshake,Quick,4
Spiceman and Milkshake,IPA,2
Spiceman and Milkshake,Iceman,16
Spiceman and Milkshake,Mojo,1
Spiceman and Milkshake,Mark,1
Brooklyn ,Ace,6
Brooklyn ,Bu,39
Brooklyn ,Hudson,8
Brooklyn ,HiC,3
Brooklyn ,Quick,3
Brooklyn ,Dot,1
Brooklyn ,Lake,5
Valley Forge,Indy,37
Valley Forge,Pathfinder,51
Valley Forge,Lumber,20
Valley Forge,Rooster,7
Valley Forge,HOBO,9
Valley Forge,Dragon,44
Valley Forge,Ace,657
Valley Forge,Lean,185
Valley Forge,Shepherd,30
Valley Forge,Shabby,10
Valley Forge,OAK ,23
Valley Forge,Slim,13
Valley Forge,Right Here,6
Valley Forge,Tally,39
Valley Forge, Machine,17
Valley Forge,Lunch,255
Valley Forge,Bu,4333
Valley Forge,INDY,37
Valley Forge,Hudson,21
Valley Forge,Bama,37
Valley Forge,HiC,475
Valley Forge,Trillium,18
Valley Forge,Iris,9
Valley Forge,Achin,76
Valley Forge,Shortcut,9
Valley Forge,Rad,256
Valley Forge,Cadi,9
Valley Forge,Iso,28
Valley Forge,Mountain Dew,9
Valley Forge,Squirrel,16
Valley Forge,WILDCAT,20
Valley Forge,Toes,71
Valley Forge,Hooti,11
Valley Forge,Angel,68
Valley Forge,Woody,48
Valley Forge,Nobody,10
Valley Forge,twisted,6
Valley Forge,Moose,13
Valley Forge,Hazel,10
Valley Forge,Blazer,9
Valley Forge,Spice,9
Valley Forge,Budget,26
Valley Forge,Quick,224
Valley Forge,elle,80
Valley Forge,Food Bag,63
Valley Forge,Camel,28
Valley Forge,RADAR,17
Valley Forge,Wonder,111
Valley Forge,Apples,6
Valley Forge,Carbo,9
Valley Forge,Shrub,34
Valley Forge,Foggy,7
Valley Forge,Detour,38
Valley Forge,Okie,42
Valley Forge,Dot,10
Valley Forge,Mojo,20
Valley Forge,Grits,10
Valley Forge,y not,51
Valley Forge,Overdue,10
Valley Forge,Eagle ,14
Valley Forge,Lake,18
Valley Forge,Flash Hand,36
Valley Forge,Optimist,9
Valley Forge,Hungry Cat,10
Valley Forge,Puddles,7
Valley Forge,German Shepherd,13
Valley Forge,Low Gear,30
Valley Forge,Duo,7
Valley Forge,Why Not,12
Valley Forge,Mark,217
Valley Forge,Willi,40
Valley Forge,Generosity,18
Valley Forge,Levi,150
Valley Forge,Long drive ,9
Valley Forge,Cowboy,7
Valley Forge,Luke,9
Valley Forge,Finder,51
Whistler,Whistler,21
Sidewinder,Ace,6
Sidewinder,Lean,2
Sidewinder,OAK ,3
Sidewinder,Lunch,4
Sidewinder,Bu,36
Sidewinder,HiC,6
Sidewinder,Toes,1
Sidewinder,Zipper,1
Sidewinder,Papa Bear,1
Sidewinder,Quick,1
Sidewinder,elle,2
Sidewinder,y not,1
Sidewinder,Mark,1
Sidewinder,Levi,1
Rockdawg69,Indy,8
Rockdawg69,Ace,193
Rockdawg69,Lean,35
Rockdawg69,Lunch,35
Rockdawg69,Bu,190
Rockdawg69,INDY,8
Rockdawg69,HiC,59
Rockdawg69,Achin,25
Rockdawg69,Rad,35
Rockdawg69,IPOD,3
Rockdawg69,Shea,6
Rockdawg69,Red Robin,2
Rockdawg69,Iso,13
Rockdawg69,Squirrel,4
Rockdawg69,Toes,1
Rockdawg69,twisted,3
Rockdawg69,Turk,23
Rockdawg69,Quick,15
Rockdawg69,elle,63
Rockdawg69,RADAR,2
Rockdawg69,IPA,3
Rockdawg69,Detour,3
Rockdawg69,Quick Start,3
Rockdawg69,Lake,19
Rockdawg69,Willi,3
Rockdawg69,Levi,13
Crazy legs,Sherpa,4
Crazy legs,Hobbit,1
Crazy legs,Ace,7
Crazy legs,Lean,2
Crazy legs,Lunch,4
Crazy legs,Bu,23
Crazy legs,HiC,12
Crazy legs,Rad,2
Crazy legs,Angel,1
Crazy legs,Nobody,1
Crazy legs,Duo,3
Crazy legs,Mark,7
Library(Wolf),Indy,1
Library(Wolf),Cribbage,1
Library(Wolf),Willow,2
Library(Wolf),Woodstock ,1
Library(Wolf),Ace,22
Library(Wolf),Lean,3
Library(Wolf),OAK ,1
Library(Wolf),Tally,2
Library(Wolf),Lunch,20
Library(Wolf),Bu,109
Library(Wolf),INDY,1
Library(Wolf),Bama,1
Library(Wolf),HiC,27
Library(Wolf),Iris,1
Library(Wolf),Lightning,1
Library(Wolf),Achin,3
Library(Wolf),Rad,1
Library(Wolf),Iso,3
Library(Wolf),WILDCAT,3
Library(Wolf),Toes,1
Library(Wolf),Angel,1
Library(Wolf),Moose,4
Library(Wolf),Quick,13
Library(Wolf),Food Bag,4
Library(Wolf),Slug,1
Library(Wolf),Wonder,6
Library(Wolf),Carbo,3
Library(Wolf),IPA,2
Library(Wolf),Detour,3
Library(Wolf),Okie,7
Library(Wolf),Overdue,13
Library(Wolf),Lake,9
Library(Wolf),Caveman ,3
Library(Wolf),Optimist,1
Library(Wolf),Bamadog,1
Library(Wolf),Mark,2
Library(Wolf),Willi,5
Library(Wolf),Mosey,1
Tipperary,Dragon,20
Tipperary,Ace,68
Tipperary,Tally,20
Tipperary,Bu,788
Tipperary,Nubbins,14
Tipperary,HiC,164
Tipperary,Rad,20
Tipperary,Iso,14
Tipperary,Toes,20
Tipperary,Nobody,14
Tipperary,Spice,14
Tipperary,Quick,148
Tipperary,elle,40
Tipperary,Wonder,48
Tipperary,IPA,20
Tipperary,Tipperary,14
Tipperary,y not,20
Tipperary,Duo,20
Tipperary,Mark,28
Tipperary,Pilot,14
Tipperary,Vega,14
Sturdy Peasant,Ace,32
Sturdy Peasant,Tally,6
Sturdy Peasant,Bu,86
Sturdy Peasant,HiC,22
Sturdy Peasant,Iso,6
Sturdy Peasant,BULL,8
Sturdy Peasant,Quick,6
Sturdy Peasant,Wonder,8
Sturdy Peasant,Mark,22
Bluestem,nails,6
Bluestem,Indy,9
Bluestem,Ace,48
Bluestem,Lean,7
Bluestem,Lunch,10
Bluestem,Bu,229
Bluestem,INDY,9
Bluestem,HiC,31
Bluestem,Achin,4
Bluestem,Rad,7
Bluestem,Hooti,1
Bluestem,Hazel,5
Bluestem,Turk,7
Bluestem,Quick,7
Bluestem,elle,2
Bluestem,Wonder,4
Bluestem,IPA,1
Bluestem,Foggy,12
Bluestem,Eagle ,8
Bluestem,Mark,1
Bluestem,Willi,4
Bluestem,Gordon,3
Bionic Man,Indy,3
Bionic Man,Ace,69
Bionic Man,Lean,9
Bionic Man,OAK ,2
Bionic Man,Tally,2
Bionic Man, Machine,1
Bionic Man,Lunch,6
Bionic Man,Bu,226
Bionic Man,INDY,3
Bionic Man,HiC,14
Bionic Man,Lightning,1
Bionic Man,Achin,4
Bionic Man,Rad,42
Bionic Man,Iso,1
Bionic Man,Squirrel,1
Bionic Man,BULL,2
Bionic Man,Toes,3
Bionic Man,Angel,6
Bionic Man,Nobody,1
Bionic Man,Papa Al,1
Bionic Man,Sycamore,3
Bionic Man,Papa Bear,1
Bionic Man,Turk,2
Bionic Man,Quick,7
Bionic Man,elle,6
Bionic Man,Wonder,3
Bionic Man,Carbo,1
Bionic Man,Geared Up,1
Bionic Man,IPA,6
Bionic Man,Foggy,2
Bionic Man,Bionic Man,7
Bionic Man,Okie,3
Bionic Man,y not,2
Bionic Man,Eagle ,5
Bionic Man,Seabee,2
Bionic Man,Why Not,2
Bionic Man,Mark,7
Bionic Man,Generosity,1
Bionic Man,Cowboy ,1
Bionic Man,Cowboy,1
Bionic Man,Denali,1
Bionic Man,Cheeks,1
CBiscuit,Moxie,2
CBiscuit,Indy,6
CBiscuit,HOBO,6
CBiscuit,Firefly,4
CBiscuit,Hobbit,2
CBiscuit,Ace,203
CBiscuit,Lean,51
CBiscuit,OAK ,2
CBiscuit,Slim,5
CBiscuit,Right Here,2
CBiscuit,Tally,6
CBiscuit,Lunch,102
CBiscuit,Bu,746
CBiscuit,INDY,6
CBiscuit,Hudson,10
CBiscuit,HiC,63
CBiscuit,Leonard,3
CBiscuit,Lightning,2
CBiscuit,Achin,10
CBiscuit,Draggin,3
CBiscuit,Rad,42
CBiscuit,Cadi,7
CBiscuit,Iso,18
CBiscuit,Plank,20
CBiscuit,Thistle,4
CBiscuit,Cheerio,12
CBiscuit,Last Minute,4
CBiscuit,BULL,2
CBiscuit,WILDCAT,19
CBiscuit,Toes,12
CBiscuit,Recon,2
CBiscuit,Angel,12
CBiscuit,Moose,8
CBiscuit,Coach,4
CBiscuit,Quick,85
CBiscuit,elle,9
CBiscuit,Food Bag,5
CBiscuit,Slug,7
CBiscuit,Wonder,23
CBiscuit,IPA,21
CBiscuit,Detour,6
CBiscuit,CBiscuit,4
CBiscuit,Okie,2
CBiscuit,y not,4
CBiscuit,Lake,39
CBiscuit,Daddy Longlegs,3
CBiscuit,Mark,32
CBiscuit,Willi,8
CBiscuit,Mosey,17
CBiscuit,Pilot,8
Clay Moore,Ace,27
Clay Moore,Tally,9
Clay Moore,Bu,63
Clay Moore,Iso,9
Clay Moore,Nobody,9
Clay Moore,Budget,9
Clay Moore,Willi,9
Quick Start,Lean,3
Quick Start,Bu,18
Quick Start,BULL,3
Quick Start,Wonder,3
Butch and Sundance,Indy,8
Butch and Sundance,JetLag,5
Butch and Sundance,Dragon,4
Butch and Sundance,Ace,62
Butch and Sundance,Lean,15
Butch and Sundance,OAK ,4
Butch and Sundance,Tally,2
Butch and Sundance, Machine,4
Butch and Sundance,Lunch,60
Butch and Sundance,Bu,595
Butch and Sundance,INDY,8
Butch and Sundance,Bama,1
Butch and Sundance,HiC,53
Butch and Sundance,Bubba,4
Butch and Sundance,Lightning,2
Butch and Sundance,Achin,4
Butch and Sundance,Rad,15
Butch and Sundance,Cassidy,265
Butch and Sundance,Mountain Dew,6
Butch and Sundance,Low Profile ,6
Butch and Sundance,Squirrel,2
Butch and Sundance,WILDCAT,1
Butch and Sundance,Toes,1
Butch and Sundance,Hooti,2
Butch and Sundance,Angel,4
Butch and Sundance,Woody,2
Butch and Sundance,Yogi,2
Butch and Sundance,Quick,13
Butch and Sundance,Food Bag,6
Butch and Sundance,Slug,12
Butch and Sundance,Wonder,11
Butch and Sundance,Sundance ,165
Butch and Sundance,Apples,2
Butch and Sundance,Foggy,3
Butch and Sundance,Okie,14
Butch and Sundance,Mojo,2
Butch and Sundance,Grits,3
Butch and Sundance,Lake,5
Butch and Sundance,Twofer,10
Butch and Sundance,Mark,8
Butch and Sundance,Levi,4
Butch and Sundance,Highlander,2
Blue Raccoon,nails,7
Blue Raccoon,Stripe,47
Blue Raccoon,Spider Web,2
Blue Raccoon,Moxie,58
Blue Raccoon,Indy,273
Blue Raccoon,Pilgrim,18
Blue Raccoon,Cribbage,36
Blue Raccoon,Lumber,32
Blue Raccoon,Rooster,26
Blue Raccoon,Dragon,115
Blue Raccoon,Ace,4565
Blue Raccoon,Lean,504
Blue Raccoon,Shepherd,15
Blue Raccoon,Ole Slo,29
Blue Raccoon,OAK ,108
Blue Raccoon,Slim,34
Blue Raccoon,Right Here,41
Blue Raccoon,Tally,278
Blue Raccoon, Machine,37
Blue Raccoon,Lunch,3059
Blue Raccoon,Bu,21683
Blue Raccoon,INDY,273
Blue Raccoon,HiC,1526
Blue Raccoon,Flinch,13
Blue Raccoon,Iris,15
Blue Raccoon,Padre,12
Blue Raccoon,Lightning,102
Blue Raccoon,Achin,448
Blue Raccoon,Draggin,17
Blue Raccoon,Rad,866
Blue Raccoon,Iddo,15
Blue Raccoon,Cadi,49
Blue Raccoon,Not Worthy,10
Blue Raccoon,Red Robin,11
Blue Raccoon,Iso,312
Blue Raccoon,Mountain Dew,13
Blue Raccoon,Caboose ,11
Blue Raccoon,Last Minute,26
Blue Raccoon,Squirrel,557
Blue Raccoon,Box Turtle,62
Blue Raccoon,BULL,108
Blue Raccoon,WILDCAT,63
Blue Raccoon,Toes,426
Blue Raccoon,Hooti,18
Blue Raccoon,Recon,22
Blue Raccoon,Angel,703
Blue Raccoon,Good Enough,68
Blue Raccoon,Nobody,198
Blue Raccoon,Signage,21
Blue Raccoon,twisted,92
Blue Raccoon,Yogi,20
Blue Raccoon,Moose,1003
Blue Raccoon,Rabbit ,51
Blue Raccoon,Baked Potato ,16
Blue Raccoon,Hazel,13
Blue Raccoon,Blazer,32
Blue Raccoon,Turk,305
Blue Raccoon,Budget,26
Blue Raccoon,Quick,1735
Blue Raccoon,elle,584
Blue Raccoon,Food Bag,13
Blue Raccoon,Papa Monkey,13
Blue Raccoon,Slug,27
Blue Raccoon,Camel,38
Blue Raccoon,Wonder,618
Blue Raccoon,Bunkie,13
Blue Raccoon,Greyhound,14
Blue Raccoon,Terodactyle,22
Blue Raccoon,Shrub,45
Blue Raccoon,Molasses,8
Blue Raccoon,1st Sgt,13
Blue Raccoon,IPA,105
Blue Raccoon,Bulldog,19
Blue Raccoon,Neon,30
Blue Raccoon,Valley Forge,17
Blue Raccoon,Aleve,36
Blue Raccoon,Foggy,88
Blue Raccoon,Happy Feet,22
Blue Raccoon,Detour,100
Blue Raccoon,Wheel,64
Blue Raccoon,Zip Code,66
Blue Raccoon,Okie,496
Blue Raccoon,Nemo,23
Blue Raccoon,Champagne ,16
Blue Raccoon,Blue Raccoon,3889
Blue Raccoon,y not,275
Blue Raccoon,Stair Master,12
Blue Raccoon,Beast,20
Blue Raccoon,Eagle ,11
Blue Raccoon,Lake,487
Blue Raccoon,Griffin,25
Blue Raccoon,Puddles,13
Blue Raccoon,Lorax,342
Blue Raccoon,German Shepherd,15
Blue Raccoon,Clank,74
Blue Raccoon,Daddy Longlegs,30
Blue Raccoon,Low Gear,20
Blue Raccoon,Earl Grey,15
Blue Raccoon,Duo,118
Blue Raccoon,MOLASSES,8
Blue Raccoon,Mark,645
Blue Raccoon,Willi,43
Blue Raccoon,Levi,45
Blue Raccoon,Pockets,24
Blue Raccoon,Mosey,76
Blue Raccoon,Cowboy ,56
Blue Raccoon,Cowboy,56
Blue Raccoon,Halo,10
Blue Raccoon,Luke,24
Blue Raccoon,Pilot,25
Blue Raccoon,Vega,23
Blue Raccoon,Cheeks,18
Farfar,nails,11
Farfar,Spider Web,7
Farfar,Indy,24
Farfar,Lumber,5
Farfar,Dragon,33
Farfar,Ace,200
Farfar,Lean,49
Farfar,Shabby,4
Farfar,Magnet,6
Farfar,OAK ,8
Farfar,Tally,11
Farfar, Machine,17
Farfar,Lunch,269
Farfar,Bu,1591
Farfar,INDY,24
Farfar,HiC,451
Farfar,Two Step,4
Farfar,Trillium,5
Farfar,Flinch,4
Farfar,Lightning,8
Farfar,Hoyt,3
Farfar,Achin,27
Farfar,Draggin,5
Farfar,Rad,70
Farfar,Short Stop,5
Farfar,Shea,4
Farfar,Iso,14
Farfar,Thistle,5
Farfar,iceman,11
Farfar,Toes,34
Farfar,Hooti,7
Farfar,Recon,6
Farfar,Angel,27
Farfar,Zipper,19
Farfar,Nobody,8
Farfar,Kansas,5
Farfar,Yogi,11
Farfar,Rabbit ,4
Farfar,Baked Potato ,7
Farfar,BASA,3
Farfar,Quick,42
Farfar,elle,61
Farfar,Food Bag,43
Farfar,Wonder,37
Farfar,Apples,6
Farfar,Carbo,9
Farfar,IPA,28
Farfar,Salesman,4
Farfar,Iceman,11
Farfar,Foggy,6
Farfar,Detour,6
Farfar,Wheel,6
Farfar,Okie,96
Farfar,Dot,9
Farfar,Mojo,5
Farfar,Farfar,48
Farfar,y not,34
Farfar,Hickory,6
Farfar,Lake,56
Farfar,Duo,5
Farfar,Mark,76
Farfar,Willi,43
Farfar,Levi,23
Farfar,Pockets,18
Farfar,Long drive ,6
Farfar,Zombie ,7
Dragon Breath,Roadrunner,1
Dragon Breath,Dragon,3
Dragon Breath,Ace,5
Dragon Breath,Tally,1
Dragon Breath,Bu,31
Dragon Breath,HiC,2
Dragon Breath,Rad,1
Dragon Breath,Shea,1
Dragon Breath,Affirm,1
Dragon Breath,Woody,2
Dragon Breath,Quick,3
Dragon Breath,Food Bag,1
Dragon Breath,Wonder,1
Dragon Breath,Foggy,1
Dragon Breath,Dragon Breath,3
Dragon Breath,y not,1
Dragon Breath,Mark,1
Dragon Breath,RoadRunner,1
Stacker,Ace,1
Stacker,Lunch,11
Stacker,Bu,72
Stacker,HiC,16
Stacker,Lightning,1
Stacker,Achin,3
Stacker,Rad,2
Stacker,Shea,4
Stacker,Hooti,3
Stacker,Angel,5
Stacker,Woody,1
Stacker,Quick,12
Stacker,Wonder,1
Stacker,Dicey,3
Stacker,Okie,6
Stacker,Stacker,3
Stacker,Lake,3
Lucero,Moxie,1
Lucero,Indy,6
Lucero,Rooster,1
